Libellé du département,count,mean,std,min,25%,50%,75%,max,Code du département,Nbvoix,%popent,%popvot
Ain,36.0,5.027777777777778,0.16666666666666663,5.0,5.0,5.0,5.0,6.0,1,51895.0,11.78,25.04
Allier,2.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,3,32573.0,13.0,26.28
Alpes-Maritimes,11.0,6.2727272727272725,2.831639422345617,5.0,5.0,5.0,5.0,12.0,6,75832.0,9.68,21.81
Ardennes,10.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8,16083.0,8.6,19.11
Ardèche,20.0,8.5,0.512989176042577,8.0,8.0,8.5,9.0,9.0,7,24851.0,9.68,18.490000000000002
Bouches-du-Rhône,70.0,5.857142857142857,1.653154334797083,5.0,5.0,5.0,6.5,10.0,13,188860.0,13.299999999999999,30.729999999999997
Calvados,25.0,5.4,0.5,5.0,5.0,5.0,6.0,6.0,14,75199.0,14.61,29.09
Charente,20.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,16,32282.0,12.49,25.59
Côte-d'Or,20.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,21,46366.0,12.59,25.119999999999997
Côtes-d'Armor,18.0,5.555555555555555,0.5113099925649136,5.0,5.0,6.0,6.0,6.0,22,72743.0,15.37,28.380000000000003
Deux-Sèvres,20.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,79,40743.0,14.860000000000001,30.64
Dordogne,90.0,5.222222222222222,0.41806880186893863,5.0,5.0,5.0,5.0,6.0,24,43986.0,13.77,25.77
Doubs,20.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,25,45814.0,12.379999999999999,25.94
Drôme,1.0,5.0,,5.0,5.0,5.0,5.0,5.0,26,60695.0,15.81,31.770000000000003
Eure,13.0,7.384615384615385,2.6311740579210876,6.0,6.0,6.0,6.0,12.0,27,53761.0,12.389999999999999,25.92
Finistère,43.0,5.6976744186046515,1.2823877231263754,5.0,5.0,5.0,5.0,8.0,29,118179.0,16.59,32.06
Gard,20.0,9.0,1.025978352085154,8.0,8.0,9.0,10.0,10.0,30,73880.0,13.25,28.74
Gers,12.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,32,19195.0,13.0,23.75
Gironde,33.0,5.606060606060606,0.49619766344887317,5.0,5.0,6.0,6.0,6.0,33,186435.0,16.01,32.239999999999995
Haut-Rhin,10.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,68,49170.0,9.22,21.470000000000002
Haute-Garonne,12.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,31,167327.0,17.84,34.05
Haute-Marne,10.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,52,,,
Haute-Saône,30.0,6.0,1.4383899044561526,5.0,5.0,5.0,8.0,8.0,70,19043.0,10.69,21.29
Hauts-de-Seine,27.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,92,165750.0,16.51,31.63
Hérault,36.0,7.527777777777778,2.9807583992871063,5.0,6.0,6.0,10.0,15.0,34,119495.0,14.02,29.759999999999998
Ille-et-Vilaine,27.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,35,140256.0,18.080000000000002,34.95
Indre-et-Loire,19.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,37,70126.0,15.86,31.799999999999997
Isère,10.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,38,146859.0,16.5,33.94
Landes,10.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,40,55420.0,16.74,31.939999999999998
Loire,40.0,6.4495000000000005,2.2520542758864543,5.0,5.0,5.0,9.2425,10.0,42,60447.0,11.71,24.85
Loire-Atlantique,3.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,44,194496.0,18.33,36.57
Loiret,35.0,5.457142857142857,1.4161434195991414,5.0,5.0,5.0,5.0,10.0,45,55327.0,12.040000000000001,24.99
Maine-et-Loire,8.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,49,80283.0,13.57,28.49
Manche,20.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,50,48914.0,12.72,25.990000000000002
