,Prix (€),Marque,Taille,Etat,Matière,Localisation,Option de paiement,Vues,Date d'ajout
0,"6,00",,W34 | FR 44,Très bon état,,"Tourny, France",Carte bancaire,13,"12/28/2023, 6:19:17 PM"
1,"5,00",,W30 | FR 40,Neuf sans étiquette,Coton,France,Carte bancaire,0,"12/29/2023, 12:52:25 PM"
2,"5,00",Zara,W32 | FR 42,Satisfaisant,,"Riantec, France",Carte bancaire,2,"12/29/2023, 10:43:33 AM"
3,"8,00",Bonobo,W34 | FR 44,Très bon état,,France,Carte bancaire,3,"12/29/2023, 11:47:15 AM"
4,"6,00",Zara,W30 | FR 40,Très bon état,,"Feignies, France",Carte bancaire,1,"12/29/2023, 11:39:14 AM"
5,"5,00",Leeyo Jeans,W28 | FR 38,Très bon état,,"Buigny-Saint-Maclou, France",Carte bancaire,0,"12/29/2023, 12:51:07 PM"
6,"5,00",Casual by Gémo,W38 | FR 48,Neuf sans étiquette,,"Fougueyrolles, France",Carte bancaire,1,"12/29/2023, 11:09:58 AM"
7,"10,00",Redskins,W33 | FR 42,Neuf avec étiquette,,"Arles, France",Carte bancaire,0,"12/29/2023, 12:27:06 PM"
8,"5,00",Pull & Bear,W26 | FR 36,Très bon état,,"Cabriès, France",Carte bancaire,123,"12/28/2023, 6:55:30 PM"
9,"5,00",Openfield,W36 | FR 46,Très bon état,,"Seichamps, France",Carte bancaire,125,"12/28/2023, 6:50:32 AM"
10,"10,00",RAW,W25 | FR 34,Neuf sans étiquette,,"Paris, France",Carte bancaire,0,"12/29/2023, 12:15:38 PM"
11,"5,00",John H,W24 | FR 34,Neuf sans étiquette,"Coton, Élasthanne","Villejuif, France",Carte bancaire,0,"12/29/2023, 11:46:27 AM"
12,"5,00",Dockers,W23 | FR 32,Très bon état,,France,Carte bancaire,2,"12/29/2023, 12:33:15 PM"
13,"5,00",Brave Soul,W28 | FR 38,Très bon état,,France,Carte bancaire,15,"12/25/2023, 5:51:23 PM"
14,"5,00",Devred,W28 | FR 38,Très bon état,,France,Carte bancaire,24,"12/28/2023, 10:17:35 AM"
15,"8,00",Autograph,W33 | FR 42,Neuf sans étiquette,,France,Carte bancaire,1,"12/29/2023, 12:24:25 PM"
16,"7,00",ICON,W32 | FR 42,Très bon état,,"Berre-l'Étang, France",Carte bancaire,105,"12/27/2023, 10:16:05 AM"
17,"5,00",Jack & Jones,W32 | FR 42,Très bon état,,"Guiler-sur-Goyen, France",Carte bancaire,125,"12/24/2023, 10:42:36 AM"
18,"5,00",Kiliwatch,W32 | FR 42,Neuf sans étiquette,,"Camaret-sur-Aigues, France",Carte bancaire,0,"12/29/2023, 12:39:04 PM"
19,"5,00",G-Star,W32 | FR 42,Très bon état,,France,Carte bancaire,142,"12/27/2023, 4:01:20 PM"
20,"6,00",,W34 | FR 44,Très bon état,,"Lamonzie-Saint-Martin, France",Carte bancaire,13,"12/28/2023, 5:49:40 PM"
21,"5,00",Dsquared2,W23 | FR 32,Satisfaisant,,"Carpiquet, France",Carte bancaire,67,"12/28/2023, 2:35:59 PM"
22,"8,00",Quiksilver,W36 | FR 46,Très bon état,Coton,"Saint-Germain, France",Carte bancaire,2,"12/26/2023, 8:31:44 AM"
23,"5,00",ASOS Design,W26 | FR 36,Neuf sans étiquette,,France,Carte bancaire,14,"12/26/2023, 1:44:07 PM"
24,"6,00",Pull & Bear,W32 | FR 42,Très bon état,,"Pardines, France",Carte bancaire,42,"12/28/2023, 8:12:34 PM"
25,"6,00",Denim Co,W32 | FR 42,Très bon état,,France,Carte bancaire,0,"12/29/2023, 12:11:03 PM"
26,"5,00",Urban Rags,W30 | FR 40,Très bon état,"Coton, Polyes","Broye-Aubigney-Montseugny, France",Carte bancaire,19,"12/27/2023, 9:47:41 AM"
27,"5,00",ICON,W23 | FR 32,Très bon état,,"Quimper, France",Carte bancaire,47,"12/28/2023, 4:13:03 PM"
28,"5,00",Tally Weijl,W32 | FR 42,Très bon état,,France,Carte bancaire,0,"12/29/2023, 12:16:59 PM"
29,"6,00",Celio,W40 | FR 50,Très bon état,Coton,"Saint-Geours-de-Maremne, France",Carte bancaire,10,"12/28/2023, 2:19:04 PM"
30,"5,00",Sixth Sense,W48 | FR 58,Bon état,,"Blainville-sur-l'Eau, France",Carte bancaire,7,"12/28/2023, 1:36:41 PM"
31,"8,00",Bershka,W31 | FR 40,Bon état,"Coton, V","Guissény, France",Carte bancaire,44,"12/28/2023, 11:05:33 AM"
32,"7,00",Tailor & Son,W34 | FR 44,Très bon état,,France,Carte bancaire,2,"12/29/2023, 11:57:21 AM"
33,"5,00",Straight,W35 | FR 44,Très bon état,,France,Carte bancaire,0,"12/29/2023, 12:28:24 PM"
34,"5,00",Kiabi,W40 | FR 50,Très bon état,,"La Bazoge, France",Carte bancaire,4,"12/29/2023, 10:13:26 AM"
35,"6,00",Creeks,W36 | FR 46,Très bon état,,"Lattes, France",Carte bancaire,9,"12/28/2023, 2:42:21 PM"
36,"10,00",Jack & Jones,W33 | FR 42,Neuf sans étiquette,,"Saint-Denis-du-Payré, France",Carte bancaire,3,"12/29/2023, 12:34:58 PM"
37,"5,00",Pull & Bear,W28 | FR 38,Très bon état,Denim,"Saint-Bernard, France",Carte bancaire,0,"12/29/2023, 11:51:59 AM"
38,"8,00",G-Star,W32 | FR 42,Très bon état,,"Chamalières, France",Carte bancaire,20,"12/29/2023, 10:06:25 AM"
39,"6,00",Devred,W33 | FR 42,Très bon état,,"Bussières, France",Carte bancaire,9,"12/28/2023, 10:50:59 AM"
40,"7,00",Siksilk,M,Très bon état,,France,Carte bancaire,11,"12/28/2023, 12:08:23 PM"
