CodePostal;Nom Commune; Niveau de vie Commune ; NiveaudevieDépartement 
1001;L'Abergement-Clémenciat; 22 130   ; 22 344   
1002;L'Abergement-de-Varey; 23 213   ; 22 344   
1004;Ambérieu-en-Bugey; 19 554   ; 22 344   
1005;Ambérieux-en-Dombes; 22 388   ; 22 344   
1006;Ambléon; 21 872   ; 22 344   
1007;Ambronay; 21 651   ; 22 344   
1008;Ambutrix; 23 670   ; 22 344   
1009;Andert-et-Condon; 21 486   ; 22 344   
1010;Anglefort; 21 015   ; 22 344   
1011;Apremont; 22 690   ; 22 344   
1012;Aranc; 20 211   ; 22 344   
1013;Arandas; 19 534   ; 22 344   
1014;Arbent; 19 566   ; 22 344   
1015;Arbignieu; 21 587   ; 22 344   
1016;Arbigny; 20 533   ; 22 344   
1017;Argis; 18 645   ; 22 344   
1019;Armix;; 22 344   
1021;Ars-sur-Formans; 22 961   ; 22 344   
1022;Artemare; 18 782   ; 22 344   
1023;Asnières-sur-Saône;; 22 344   
1024;Attignat; 21 301   ; 22 344   
1025;Bâgé-la-Ville; 21 149   ; 22 344   
1026;Bâgé-le-Châtel; 20 546   ; 22 344   
1027;Balan; 22 476   ; 22 344   
1028;Baneins; 22 036   ; 22 344   
1029;Beaupont; 19 184   ; 22 344   
1030;Beauregard; 19 916   ; 22 344   
1031;Bellignat; 18 542   ; 22 344   
1032;Béligneux; 20 256   ; 22 344   
1033;Bellegarde-sur-Valserine; 19 064   ; 22 344   
1034;Belley; 18 549   ; 22 344   
1035;Belleydoux; 21 730   ; 22 344   
1036;Belmont-Luthézieu; 20 666   ; 22 344   
1037;Bénonces; 19 788   ; 22 344   
1038;Bény; 20 839   ; 22 344   
1039;Béon; 20 048   ; 22 344   
1040;Béréziat; 20 275   ; 22 344   
1041;Bettant; 21 862   ; 22 344   
1042;Bey; 23 768   ; 22 344   
1043;Beynost; 25 327   ; 22 344   
1044;Billiat; 24 783   ; 22 344   
1045;Birieux; 23 902   ; 22 344   
1046;Biziat; 20 973   ; 22 344   
1047;Blyes; 25 184   ; 22 344   
1049;La Boisse; 24 096   ; 22 344   
1050;Boissey; 19 180   ; 22 344   
1051;Bolozon;; 22 344   
1052;Bouligneux; 24 708   ; 22 344   
1053;Bourg-en-Bresse; 18 088   ; 22 344   
1054;Bourg-Saint-Christophe; 24 337   ; 22 344   
1056;Boyeux-Saint-Jérôme; 17 728   ; 22 344   
1057;Boz; 19 870   ; 22 344   
1058;Brégnier-Cordon; 19 369   ; 22 344   
1059;Brénaz;; 22 344   
1060;Brénod; 21 680   ; 22 344   
1061;Brens; 22 209   ; 22 344   
1062;Bressolles; 25 964   ; 22 344   
1063;Brion; 23 666   ; 22 344   
1064;Briord; 19 868   ; 22 344   
1065;Buellas; 23 389   ; 22 344   
1066;La Burbanche;; 22 344   
1067;Ceignes; 20 545   ; 22 344   
1068;Cerdon; 19 621   ; 22 344   
1069;Certines; 22 580   ; 22 344   
1071;Cessy; 35 336   ; 22 344   
1072;Ceyzériat; 22 139   ; 22 344   
1073;Ceyzérieu; 21 771   ; 22 344   
1074;Chalamont; 20 883   ; 22 344   
1075;Chaleins; 22 894   ; 22 344   
1076;Chaley; 18 523   ; 22 344   
1077;Challes-la-Montagne; 20 540   ; 22 344   
1078;Challex; 37 585   ; 22 344   
1079;Champagne-en-Valromey; 20 196   ; 22 344   
1080;Champdor; 21 274   ; 22 344   
1081;Champfromier; 23 068   ; 22 344   
1082;Chanay; 22 665   ; 22 344   
1083;Chaneins; 22 154   ; 22 344   
1084;Chanoz-Châtenay; 21 324   ; 22 344   
1085;La Chapelle-du-Châtelard; 22 414   ; 22 344   
1087;Charix; 22 476   ; 22 344   
1088;Charnoz-sur-Ain; 24 434   ; 22 344   
1089;Château-Gaillard; 21 614   ; 22 344   
1090;Châtenay; 20 505   ; 22 344   
1091;Châtillon-en-Michaille; 24 917   ; 22 344   
1092;Châtillon-la-Palud; 22 145   ; 22 344   
1093;Châtillon-sur-Chalaronne; 20 118   ; 22 344   
1094;Chavannes-sur-Reyssouze; 20 398   ; 22 344   
1095;Chavannes-sur-Suran; 19 968   ; 22 344   
1096;Chaveyriat; 21 339   ; 22 344   
1097;Chavornay; 20 368   ; 22 344   
1098;Chazey-Bons; 20 725   ; 22 344   
1099;Chazey-sur-Ain; 23 513   ; 22 344   
1100;Cheignieu-la-Balme; 19 231   ; 22 344   
1101;Chevillard; 22 005   ; 22 344   
1102;Chevroux; 20 947   ; 22 344   
1103;Chevry; 36 382   ; 22 344   
1104;Chézery-Forens; 22 047   ; 22 344   
1105;Civrieux; 25 740   ; 22 344   
1106;Cize; 19 108   ; 22 344   
1107;Cleyzieu; 21 548   ; 22 344   
1108;Coligny; 20 093   ; 22 344   
1109;Collonges; 29 178   ; 22 344   
1110;Colomieu; 20 375   ; 22 344   
1111;Conand; 20 130   ; 22 344   
1112;Condamine; 20 758   ; 22 344   
1113;Condeissiat; 18 628   ; 22 344   
1114;Confort; 23 717   ; 22 344   
1115;Confrançon; 20 366   ; 22 344   
1116;Contrevoz; 20 261   ; 22 344   
1117;Conzieu; 21 791   ; 22 344   
1118;Corbonod; 22 892   ; 22 344   
1119;Corcelles; 19 077   ; 22 344   
1121;Corlier; 19 117   ; 22 344   
1122;Cormaranche-en-Bugey; 22 683   ; 22 344   
1123;Cormoranche-sur-Saône; 21 421   ; 22 344   
1124;Cormoz; 20 158   ; 22 344   
1125;Corveissiat; 21 141   ; 22 344   
1127;Courmangoux; 21 944   ; 22 344   
1128;Courtes; 19 762   ; 22 344   
1129;Crans; 22 219   ; 22 344   
1130;Cras-sur-Reyssouze; 21 048   ; 22 344   
1133;Cressin-Rochefort; 20 142   ; 22 344   
1134;Crottet; 21 610   ; 22 344   
1135;Crozet; 33 432   ; 22 344   
1136;Cruzilles-lès-Mépillat; 21 639   ; 22 344   
1138;Culoz; 18 819   ; 22 344   
1139;Curciat-Dongalon; 19 303   ; 22 344   
1140;Curtafond; 21 963   ; 22 344   
1141;Cuzieu; 22 701   ; 22 344   
1142;Dagneux; 22 105   ; 22 344   
1143;Divonne-les-Bains; 39 645   ; 22 344   
1144;Dommartin; 19 726   ; 22 344   
1145;Dompierre-sur-Veyle; 20 348   ; 22 344   
1146;Dompierre-sur-Chalaronne; 20 859   ; 22 344   
1147;Domsure; 18 516   ; 22 344   
1148;Dortan; 21 025   ; 22 344   
1149;Douvres; 24 164   ; 22 344   
1150;Drom; 21 065   ; 22 344   
1151;Druillat; 21 998   ; 22 344   
1152;Échallon; 24 413   ; 22 344   
1153;Échenevex; 42 191   ; 22 344   
1154;Étrez; 19 899   ; 22 344   
1155;Évosges; 19 454   ; 22 344   
1156;Faramans; 23 545   ; 22 344   
1157;Fareins; 24 538   ; 22 344   
1158;Farges; 32 178   ; 22 344   
1159;Feillens; 20 792   ; 22 344   
1160;Ferney-Voltaire; 25 508   ; 22 344   
1162;Flaxieu;; 22 344   
1163;Foissiat; 20 011   ; 22 344   
1165;Francheleins; 22 155   ; 22 344   
1166;Frans; 23 923   ; 22 344   
1167;Garnerans; 22 443   ; 22 344   
1169;Genouilleux; 22 981   ; 22 344   
1170;Béard-Géovreissiat; 20 852   ; 22 344   
1171;Géovreisset; 21 682   ; 22 344   
1172;Germagnat; 18 463   ; 22 344   
1173;Gex; 29 910   ; 22 344   
